head,rel,tail
Q16288,i,P61978
P17612,i,P19022
Q9UQM7,i,P20339
P28482,i,Q14118
Q61337,i,P08631
P08581,i,Q12846
Q9ULW0,i,O60716
P27361,i,P04083
P17252,i,P05023
P42336,i,P31146
Q16539,i,P13498
Q9P1W9,i,Q86UL8
P67870,i,P11021
P29317,i,P31645
P52333,i,P06396
P67870,i,P50281
P20936,i,Q14118
Q9H2X6,i,P0DMV8
P28482,i,P13498
O14965,i,P19022
P68400,i,Q14155
PR:000035423,i,P06396
P00533,i,P50570
P23443,i,Q9Y4G8
O96017,i,P22681
Q13554,i,P19022
O14757,i,Q6UVK1
P53778,i,Q8WXH0
P05771,i,P0DMV8
Q13315,i,P17655
P53350,i,O43707
P06241,i,Q8WX93
P07948,i,P17252
Q15118,i,Q8WXH0
O14757,i,P27361
P31749,i,P08473
P53350,i,P06396
Q05655,i,Q9UQB8
O14757,i,P62745
Q92934,i,Q8WXH0
P07948,i,P62834
P49841,i,O75955
P49137,i,Q8TEW0
P30291,i,P31431
P28482,i,P27361
Q05655,i,Q16625
Q92793,i,P22681
P17612,i,P35372
Q96ST3,i,P06400
P17252,i,P27361
P31751,i,O75955
O15111,i,Q02750
O14757,i,P35241
Q14164,i,Q12959
Q15382,i,Q6UVK1
Q14012,i,Q8TEW0
P68400,i,Q96QB1
P24941,i,P00749
O75582,i,P35372
Q16512,i,Q9Y2U5
P24941,i,P28482
Q15418,i,Q16513
Q13882,i,P06396
Q13315,i,Q8WXH0
P25098,i,Q14118
Q13555,i,P13498
Q13557,i,P0DMV8
O75582,i,P12931
O00141,i,P15311
PR:000007102,i,Q9Y4G8
Q9H7Z6,i,P41240
P28482,i,O43707
Q15831,i,P17655
P10398,i,Q92558
P06493,i,P63000
Q86VP6,i,P27361
P24941,i,P50281
Q9H2X6,i,P46783
P17252,i,P0DMV8
P06493,i,Q07157
Q14676,i,P17931
P05771,i,P06241
P04637,i,Q9UER7
P11362,i,P12814
P49841,i,P62491
P09874,i,P62280
O14920,i,P51636
Q64127,i,P27361
Q13309,i,P61978
P28482,i,P0DMV8
P43405,i,P19022
Q96HY6,i,P27361
O75116,i,Q12959
P31751,i,P06748
P24941,i,P39019
P60953,i,Q9Y613
P16591,i,P62834
O75676,i,O15511
P45983,i,P05023
Q9Y5Y5,i,Q9Y5Y5
Q9NZC7,i,O00161
Q05655,i,Q13393
Q14457,i,P05023
Q15303,i,Q14118
Q07820,i,P11912
P45983,i,Q9HBH9
O14757,i,Q8TDY4
Q12834,i,P04792
O75116,i,P11021
Q8C669,i,P28482
Q13105,i,Q96QB1
P68400,i,Q13045
P51812,i,Q03135
Q7Z406,i,O15117
P05771,i,Q6UVK1
P20226,i,O95819
P31749,i,P50570
P05771,i,P04040
Q99986,i,Q12959
P17612,i,O75955
Q13131,i,P60953
Q9UBE8,i,P0DMV8
PR:000012332,i,O00560
P63104,i,Q12846
Q02156,i,Q14118
P68400,i,P17480
Q16512,i,P23458
P12931,i,P27361
P31749,i,Q12959
P57059,i,P05023
Q15831,i,Q86UL8
P49674,i,P62745
O75582,i,P61978
Q14289,i,P50570
Q9Y6E0,i,P06396
P41279,i,P28482
Q14289,i,P61586
P0C731,i,Q14494
A0A0S2Z3I6,i,P0DMV8
O14965,i,P28482
P27361,i,P15311
P41240,i,P62834
P07949,i,Q13418
P68400,i,P17655
O75116,i,Q8WXH0
P06241,i,Q13291
P53671,i,O00560
P31946,i,P62491
Q13555,i,Q9Y4G8
P28482,i,P25054
P17612,i,P08473
Q15131,i,P11912
Q15208,i,P28482
O15392,i,Q02750
P68400,i,Q02750
P63165,i,P21333
Q16539,i,P0DMV8
Q13237,i,P11021
Q13554,i,O60674
Q13131,i,P04040
P17252,i,P06396
Q15418,i,Q2M1Z3
Q9GZQ8,i,P11021
Q08881,i,O75955
P24941,i,P16284
Q15139,i,Q8WXH0
P27540,i,P17655
P06239,i,P17655
P17612,i,P14923
P46734,i,P61978
P25098,i,P60953
P29597,i,P0DMV8
O75376,i,Q15466
Q9NP31,i,Q9Y4G8
P07948,i,O60716
Q16539,i,P18206
P23458,i,Q7L0J3
P49841,i,Q92974
Q13464,i,P05023
Q07912,i,Q14118
P48730,i,Q86UL8
P09619,i,Q86UL8
Q15139,i,Q00610
P23443,i,P31146
PR:000003057,i,P05023
P41240,i,P27361
O96013,i,P63104
Q16539,i,P11717
P12931,i,P05023
Q8TDC3,i,Q9Y4G8
P06239,i,Q16625
P17612,i,P13688
P62913,i,P13861
Q13976,i,P62745
Q9Y6X8,i,Q86UL8
P31749,i,Q9UQB8
P67775,i,Q12959
P68400,i,P11021
O43683,i,O00560
O14757,i,Q14118
Q9NYY3,i,Q8TEW0
O60674,i,P18206
P51955,i,Q6UVK1
O14757,i,P23528
P45983,i,Q9BUB5
P51812,i,P27361
A9UF07,i,P06396
Q09472,i,Q8NHW3
P43403,i,P08473
P49137,i,P27361
Q00987,i,P15531
Q13976,i,O00560
Q13535,i,Q86UL8
P49841,i,Q16625
Q16539,i,P04040
P06493,i,P14923
P06493,i,P11021
A0A173G4P4,i,P62280
O14965,i,P63000
P05771,i,P27361
P49674,i,O15143
Q15831,i,Q96QB1
Q5S007,i,P49757
A0A173G4P4,i,P46783
O75582,i,Q02750
P04049,i,P13498
Q13315,i,Q00610
P63104,i,Q01814
P11309,i,Q03135
P24941,i,P04083
Q13164,i,Q86UL8
P45983,i,P62834
O15264,i,P11021
Q00535,i,Q86UL8
Q9BZL6,i,Q03135
P06239,i,P61978
P05771,i,P12931
P67870,i,Q7L0J3
P67870,i,P15311
Q5S007,i,P0DMV8
P45983,i,P11717
Q13131,i,Q03135
P25054,i,Q05193
P08183,i,P50570
Q13315,i,Q12959
Q02156,i,P18206
P05771,i,P30101
Q02156,i,Q14289
Q9Y463,i,O00560
O14965,i,P11021
Q06124,i,P06396
O14757,i,P17813
Q02156,i,P0DMV8
P17252,i,O43707
P36897,i,P54764
P08631,i,Q12959
P28482,i,Q14289
Q13554,i,Q92974
P19525,i,P00749
Q01959,i,P62834
P06493,i,Q9UQB8
O14757,i,P06396
P53350,i,P18206
P50613,i,Q02750
Q16539,i,O60716
Q13464,i,P27361
Q13315,i,P11021
O43353,i,P11021
Q96GD4,i,P31146
O15530,i,O75955
P14618,i,O43707
P08631,i,Q02750
Q05655,i,Q12846
P20749,i,Q14155
P28482,i,Q03135
P24941,i,Q12846
Q96GD4,i,O60716
O00311,i,P28482
P06493,i,O60674
P12830,i,Q14118
Q16539,i,O43707
Q96GD4,i,O43707
O00311,i,P49736
O96017,i,P17655
Q05513,i,P35579
O14757,i,P26038
P46060,i,P49792
P12830,i,P41743
P17612,i,Q92542
Q13618,i,P04040
P22607,i,P04083
O15111,i,P17655
P67870,i,P50570
P12931,i,P13498
Q03135,i,Q02750
Q7KZI7,i,Q02750
P68400,i,P13861
O00141,i,P11021
P09619,i,Q5S007
P45983,i,P04040
Q13976,i,P27361
Q02156,i,Q8TEW0
P14635,i,Q15768
Q15418,i,Q8TDY4
P00519,i,O75955
P31749,i,Q86UL8
Q9Y6E0,i,P13498
Q13627,i,P13498
P45983,i,P18206
P60484,i,O60716
Q8IXJ6,i,P13498
Q96GD4,i,P27361
O00401,i,Q9UHR4
P11309,i,P27361
P11309,i,P06396
P27361,i,P17931
Q8IVT5,i,P12830
Q16566,i,P04792
Q9UBE8,i,P62280
P06213,i,P26038
P06239,i,P31645
Q15013,i,Q03135
P78527,i,P61978
P41279,i,Q16625
Q05655,i,P04083
P07949,i,P13498
P05412,i,Q02750
P12931,i,P31146
P17612,i,Q12846
Q13554,i,O00161
P28482,i,P55072
P50750,i,P30260
Q9H2X6,i,P04637
P31749,i,P31645
Q96QF0,i,P08473
O14757,i,P31431
Q13627,i,P06396
Q15139,i,P51809
P27361,i,Q9UQB8
Q9HBH9,i,P45983
P42345,i,Q9Y4G8
Q8TAS1,i,O60716
P05129,i,P51809
P17252,i,Q03135
P29353,i,O00560
Q15759,i,P04040
P18075,i,O14974
P53350,i,Q8TEW0
O95819,i,P62834
P68400,i,Q8WXH0
Q9NYY3,i,Q13418
P12931,i,P11274
P04049,i,P60953
Q9UKA1,i,P27361
P04629,i,P50570
Q9P1W9,i,P61073
Q13315,i,P28482
O14757,i,P04040
P45983,i,P31146
P42345,i,P11717
P31751,i,P28482
Q13131,i,P06396
P05129,i,Q9UQB8
P12931,i,Q8TEW0
Q13555,i,P06396
P43250,i,O00560
Q14680,i,P19022
Q99683,i,Q13418
Q96KB5,i,P61978
P51955,i,P0DMV8
Q14676,i,O00566
O00141,i,P61073
Q03135,i,O75955
P51955,i,P04040
P31749,i,Q05193
Q13042,i,P31146
Q13309,i,Q49AN0
Q13557,i,P06396
P17252,i,P11717
Q16512,i,P31431
Q13535,i,P28482
P06239,i,P04083
Q13131,i,P62745
O14733,i,Q8WXH0
Q9NQS7,i,P17655
P08631,i,Q86UL8
P12643,i,P17655
O14745,i,Q03135
Q9UPZ9,i,Q6UVK1
Q9Y5S2,i,P17661
P06493,i,Q86UL8
O60674,i,P63101
Q6VAB6,i,P04083
Q16539,i,Q14160
Q9UQM7,i,P28482
P43403,i,Q7L0J3
Q9HCP0,i,O00560
Q15418,i,P05023
P12931,i,Q9UJU6
Q9UEW8,i,P15311
P18031,i,Q9BR76
P53778,i,P28482
P07900,i,P17655
P12931,i,Q9Y4G8
P28482,i,P11717
P50613,i,P04792
P28482,i,P49768
P05129,i,Q92974
Q00535,i,P63000
P07949,i,Q8TEW0
P51812,i,Q96N67
Q13131,i,Q13418
P51812,i,P62280
Q05513,i,Q14118
P00533,i,Q7L0J3
P06493,i,P19022
Q05516,i,P46783
P12931,i,P46939
Q7Z3T8,i,O75674
P45985,i,P19022
Q99683,i,Q03135
P17612,i,P31645
P07948,i,O75912
Q14012,i,Q13418
Q15208,i,Q02750
P12931,i,P55072
Q06609,i,Q9BXW9
Q15759,i,O00560
P35916,i,P0DMV8
PR:000025960,i,P52799
Q13177,i,P05023
P12830,i,P35221
P41279,i,P04083
O00206,i,P26038
P17252,i,P62745
Q9HBH9,i,Q14161
Q14012,i,O60716
Q7KZI7,i,P31645
Q13535,i,P84098
Q13315,i,P04083
P42684,i,P31146
P49841,i,P31645
A0A173G4P4,i,P27361
P17252,i,P08631
O94804,i,P61978
P48729,i,P27361
P27448,i,P28482
P06213,i,Q14160
Q92793,i,P17655
P55957,i,P28482
Q14676,i,P61978
Q92831,i,O75410
P10644,i,Q16625
P28482,i,P35241
Q9NYY3,i,P31146
Q9BZL6,i,O00560
P19388,i,P62917
Q9H4B4,i,Q12959
O43318,i,P62745
P05771,i,Q03135
O15111,i,P61978
Q14164,i,P11021
P17612,i,Q86UL8
P05129,i,Q86UL8
Q13464,i,P06396
P04413,i,Q9UIV1
Q96GD4,i,P00533
Q9Y243,i,P61978
P63328,i,P19022
P11362,i,Q03135
O00141,i,Q86UL8
P12931,i,P27824
P05771,i,Q14511
O14777,i,P62745
Q13976,i,P0DMV8
Q15118,i,P06748
O00512,i,Q9NQB0
Q08881,i,Q86UL8
O43293,i,Q15366
Q13131,i,Q14118
Q13315,i,P61978
P04629,i,P28482
Q12778,i,Q14155
P42224,i,O15511
P50613,i,P61978
Q5S007,i,P78352
Q8IW41,i,P04040
P17252,i,Q2M1Z3
Q9BXM7,i,P06396
P63010,i,P46940
P28482,i,P31146
P41240,i,O60716
P19838,i,Q06787
P24723,i,P13498
Q15418,i,P0DMV8
Q8IY84,i,P05023
P17612,i,P20339
O43318,i,P11717
Q16512,i,Q03135
P45983,i,Q13418
P42345,i,P49768
P45984,i,Q8WXH0
Q9UEE5,i,P61978
Q13547,i,P04792
Q00535,i,Q16658
P04049,i,Q03135
Q13627,i,P35579
P00533,i,P04156
P01375,i,P61073
P51587,i,Q6UVK1
Q13464,i,Q8TEW0
P56589,i,P04083
PR:000012332,i,P11717
P68400,i,Q14161
P06213,i,P27361
Q9UQM7,i,Q86UL8
P28482,i,P60953
P06493,i,Q92974
P40763,i,P62280
P31749,i,O75955
P21675,i,Q16832
Q71DI3,i,P61978
P45984,i,Q16625
P34947,i,O75955
P43403,i,P62837
P12004,i,Q8WXH0
O14965,i,P12931
O14757,i,O00560
Q92918,i,P11912
P19525,i,P61978
P50613,i,P28482
P48730,i,P61160
Q14457,i,P13498
P42345,i,P60953
P37173,i,P31431
P27361,i,Q8WXH0
Q5TCX8,i,P51636
Q15172,i,Q86UL8
P36897,i,Q9UQB8
Q96KB5,i,P35372
Q99967,i,O14974
P68400,i,Q86UL8
P11309,i,P04040
P06493,i,O00161
Q02156,i,P27361
P06213,i,Q9Y4G8
P04626,i,O00459
Q05655,i,Q12959
P06493,i,P16284
Q9UQB9,i,P0DMV8
P54764,i,P31146
Q13882,i,P27361
P31749,i,P04083
P68400,i,P22681
Q15418,i,P62280
Q96GD4,i,P60953
P25098,i,P41743
Q99836,i,Q16625
P06239,i,O75955
Q05397,i,P48067
Q96S53,i,P11717
O15392,i,P11021
P51812,i,P62745
O15379,i,P17655
P54646,i,Q8TEW0
P50750,i,Q9Y4G8
P42345,i,Q14118
P06213,i,P04040
Q13555,i,O60716
Q8N752,i,O15511
Q13315,i,O75955
P36888,i,P19022
Q86Y07,i,P51452
P42345,i,P18206
Q9UM73,i,Q02297
Q92793,i,Q13485
P49841,i,P35372
Q00535,i,Q12959
Q13796,i,Q12959
P68400,i,P61978
Q92769,i,Q15910
Q02156,i,P13498
Q8NG31,i,P17655
P45983,i,Q9Y4G8
Q9H4B4,i,P15311
P68400,i,Q96AC1
P57059,i,P04040
P49840,i,Q12959
P62993,i,P00749
P42345,i,P12814
Q99490,i,O60716
P06241,i,P35372
Q13153,i,P61764
Q16512,i,P51812
P42858,i,P35372
Q13464,i,P60953
P53350,i,P31749
P54646,i,P31146
Q16539,i,Q03135
PR:000007102,i,P27361
Q06187,i,P30101
P17612,i,P63000
P15498,i,P61764
P16070,i,P27361
P20339,i,Q9H3Z4
Q00535,i,O75955
Q92831,i,P31146
P49841,i,P28482
P53778,i,P31645
Q96GD4,i,P30101
P04637,i,P62280
P37173,i,Q6UVK1
P17612,i,Q07157
Q02763,i,P11717
Q16539,i,P41743
P07948,i,Q14118
P45984,i,Q86UL8
P49841,i,P63000
P12931,i,P56817
Q15831,i,P04083
P12931,i,P49768
P08631,i,P17931
Q13164,i,P04792
Q09472,i,P61978
P31749,i,Q92974
P00519,i,P17655
P42345,i,P13498
P54764,i,Q14118
Q09013,i,Q02750
Q9P2K8,i,O00560
Q16611,i,P15692
P17252,i,P62280
Q5S007,i,P27824
P42681,i,P14923
P12931,i,O00203
P53671,i,P13498
P17612,i,P12830
Q13464,i,O60716
P78527,i,Q96QB1
Q9Y243,i,P63000
P43403,i,P31645
P06239,i,Q86UL8
P43405,i,Q02750
Q16654,i,P18206
P22736,i,P0DMV8
P36402,i,Q14847
O94806,i,P28482
O60566,i,P0DMV8
P15692,i,P61764
Q16512,i,P13498
P17252,i,Q14118
Q07157,i,O75912
P31749,i,Q7L0J3
P17252,i,P04040
P00533,i,P35372
P06730,i,Q9UKV8
Q14289,i,P19022
P24941,i,P31949
Q9H2X6,i,P18206
Q13164,i,P19022
P36888,i,P11912
P06730,i,P28482
P06241,i,Q7L0J3
P24941,i,P05107
Q8TAS1,i,P0DMV8
P00519,i,Q92974
P68400,i,P61073
Q14573,i,P17813
Q96GD4,i,Q9Y4G8
Q13322,i,Q6UVK1
Q15418,i,P27361
PR:000003197,i,P62280
P0DP23,i,P50570
Q5S007,i,Q14118
P41240,i,Q16828
Q96QT4,i,P61073
P49137,i,O60716
P42345,i,P46940
P78352,i,P19022
P51813,i,P06396
O43318,i,P0DMV8
Q13164,i,P28482
Q92769,i,P06396
O15357,i,P0DMV8
O94806,i,P39019
Q05655,i,P62491
P53355,i,P27361
P53355,i,P05023
PR:000007102,i,P13498
Q9UM73,i,P15311
Q86UR1,i,Q9Y4G8
Q13627,i,Q03135
Q00536,i,P11717
P78527,i,Q02750
O76070,i,P31645
P08238,i,Q14155
Q13131,i,P27361
Q16512,i,Q05209
P08631,i,Q01105
P53355,i,O00560
P24941,i,Q16625
Q16539,i,P06396
P49840,i,P28482
P24941,i,P35372
Q99759,i,P61073
P41279,i,P39019
P63000,i,P42261
P23458,i,P17655
Q13976,i,Q03135
O00141,i,P63000
P09769,i,P28482
P55209,i,Q14160
P27361,i,Q12959
P49841,i,P19022
Q8N2W9,i,P0DMV8
Q07817,i,P15692
Q9ULW0,i,O00560
Q05655,i,P54764
Q9BZL6,i,P11717
PR:000035365,i,P18206
O43293,i,Q8TDY4
P42684,i,Q13153
PR:000002696,i,O60716
P49137,i,P30101
P05129,i,P35372
P28482,i,P26038
O75716,i,P61978
P17612,i,Q7L0J3
P68400,i,Q8WWI1
Q96GD4,i,P06396
P45984,i,Q14155
O60674,i,Q8TEW0
O96017,i,P11021
Q13535,i,Q8WXH0
Q9NYP9,i,Q15599
P24941,i,P04792
O75116,i,P31645
O95835,i,Q12959
P22681,i,P13498
O14980,i,Q7Z5H3
Q04206,i,Q92769
Q9Y297,i,P00749
Q00535,i,P14923
Q15759,i,P27361
Q9Y6D9,i,O75955
P17252,i,P60953
P48729,i,Q03135
P41279,i,P11912
Q13535,i,P23396
Q99986,i,P61073
Q9P1W9,i,P39019
Q13153,i,P14923
Q9NYY3,i,P13498
O94806,i,P17655
O15530,i,Q99623
Q13315,i,O60674
P06241,i,Q16625
O94804,i,P61073
Q12834,i,P06748
Q13586,i,Q9Y210
P45984,i,Q02750
P42345,i,P27361
P21675,i,P01100
P28482,i,O60716
Q15418,i,O60716
P29597,i,Q14160
P31751,i,P11021
P32927,i,P61978
P17612,i,Q9UQB8
O75925,i,Q6UVK1
O60716,i,P25054
Q13555,i,Q03135
O95747,i,P11717
Q13526,i,P19784
P15498,i,P31645
Q16539,i,P26038
P08581,i,Q02750
O43521,i,O43707
P31751,i,P51636
O00401,i,P05023
P00519,i,Q86UL8
P17612,i,O00161
P17252,i,O00560
PR:000007102,i,P0DMV8
P27361,i,P37840
P17612,i,Q16625
P33981,i,O75955
P98170,i,Q13077
Q9P289,i,P04083
P35968,i,P27361
Q13315,i,P04792
Q00535,i,P28482
P52333,i,P04040
P35968,i,Q14118
P63104,i,P61764
Q13555,i,P26038
Q9BXM7,i,Q14289
Q15120,i,Q12959
Q15047,i,P20871
Q9Y2H2,i,P17655
O15111,i,P04083
O60674,i,O60716
P63279,i,Q8WXH0
Q05655,i,P50570
Q13153,i,P28482
Q13043,i,O43707
Q96D31,i,P63104
Q15831,i,P61978
Q9UQM7,i,Q05513
P49959,i,O00560
P62993,i,Q86UL8
P24941,i,P17655
P29323,i,P28482
P00533,i,Q5S007
O75582,i,Q96QB1
Q9P289,i,P28482
P45481,i,P62745
O14757,i,Q9BR76
Q13535,i,P39019
P20794,i,P05556
P06213,i,P52799
Q13535,i,P11021
Q13237,i,O60674
Q13627,i,Q8TEW0
P43405,i,Q02297
Q99683,i,Q05209
P20591,i,P63000
Q13131,i,Q14289
P31749,i,Q12846
Q13526,i,Q15555
P42684,i,P62745
Q86Y07,i,P0DMV8
P25963,i,O60716
P16591,i,Q9H3Z4
Q92769,i,Q04206
P28482,i,P18206
P27361,i,P08195
P06493,i,P17655
P51817,i,P0DMV8
Q9BVJ7,i,P13861
P49137,i,O00560
O75116,i,P27348
P53350,i,O60716
P06730,i,Q16625
P11309,i,O14974
P43403,i,P19022
P17252,i,P26038
P22455,i,P09038
P41047,i,P15311
Q75MR0,i,Q9H3Z4
Q86UU0,i,P06396
P01116,i,P27361
P00533,i,Q9UQB8
Q9UL54,i,P17655
P26927,i,P35372
P25098,i,O60716
PR:000044507,i,P46783
O96017,i,P04083
Q9P0L2,i,O75955
Q9NRM7,i,P62280
Q3U182,i,Q86UL8
P11473,i,P84098
O14757,i,P08631
Q13315,i,Q86UL8
P17612,i,Q00610
Q5S007,i,P06396
Q14BN4,i,P06396
P61981,i,Q92574
P48736,i,O00459
P53779,i,P60953
O14920,i,Q8WXH0
Q53HL2,i,P0DMV8
Q5TA31,i,O60716
P41743,i,Q16625
P23443,i,P07737
P78527,i,Q8WXH0
P43405,i,Q92673
P05771,i,Q14118
P14373,i,P17612
P20936,i,P04040
P52564,i,P11021
Q9Y5S2,i,Q8TEW0
Q93008,i,P14923
O60674,i,P27824
P06730,i,O75955
Q15418,i,Q14847
O75676,i,P11021
O14965,i,P35372
O60885,i,Q6UVK1
Q99683,i,P05023
P34932,i,O15143
P27361,i,P04792
P31749,i,Q96NW7
P46940,i,Q92974
P54646,i,P26038
O94855,i,P35372
Q13233,i,Q9UQB8
PR:000029188,i,O15143
PR:000027108,i,Q14160
O95863,i,Q12959
O96017,i,P61978
P04049,i,P0DMV8
Q15139,i,P61978
O60244,i,P23396
O96017,i,Q8WXH0
P27361,i,Q14155
Q96S53,i,P27361
P78527,i,Q96AC1
Q05513,i,Q9Y4G8
O00141,i,Q12959
P54753,i,P04083
P07949,i,Q9Y4G8
P27361,i,Q5S007
Q9H204,i,P0DMV8
Q9P1W9,i,Q96QB1
P14635,i,P61978
P53667,i,P28482
Q9Y478,i,Q15555
P05549,i,P04040
PR:000007102,i,P62745
P43405,i,Q86UL8
P28482,i,Q8TEW0
P68400,i,O15117
P53350,i,P04040
Q12846,i,Q14118
Q15759,i,O60716
Q9P2K8,i,P06396
Q07817,i,Q7Z434
PR:000037513,i,P46783
PR:000003057,i,P07737
Q16539,i,P27361
P78527,i,P06748
P54646,i,Q03135
P07947,i,P27824
P04637,i,P62745
Q9H2X6,i,P06396
P49841,i,P12931
Q13526,i,Q14155
O15151,i,Q05209
P23443,i,P49757
P53350,i,Q14289
P49841,i,Q05513
P48730,i,Q12959
Q15139,i,Q7L0J3
P04637,i,P46783
Q9Y243,i,Q02750
P51812,i,P06396
P27361,i,Q86UL8
P05771,i,P11233
Q14164,i,P17655
Q13257,i,Q14118
O00560,i,P08473
P24941,i,O75955
P29323,i,P35372
O43293,i,P0DMV8
Q9Y2W7,i,Q12959
Q14457,i,Q03135
Q00987,i,P50570
P06493,i,P08473
P25098,i,P13498
Q9NRD5,i,P11717
Q13418,i,P54764
P43403,i,Q96NW7
P24941,i,P07948
Q07813,i,P61978
O14965,i,Q05513
P25098,i,P18206
P24941,i,P26010
Q9GZZ1,i,P39019
O15111,i,P35372
Q13485,i,Q8TDY4
O96013,i,Q14118
P18075,i,P26038
Q9Y6K9,i,P0DMV8
A0A024R1D8,i,Q03135
Q16566,i,P27348
P27361,i,P50570
P12931,i,P14416
O00238,i,P01137
Q96RG2,i,P61978
Q13043,i,P0DMV8
P53779,i,P62745
Q13557,i,P62745
P00519,i,P21333
Q9BXM7,i,P35579
Q68ED7,i,O15551
P27361,i,P11021
Q96GD4,i,P25054
Q16539,i,P31749
Q00535,i,P50570
P11473,i,Q96RL1
Q13131,i,P31146
Q9UBS0,i,Q02750
P49137,i,P04040
P27361,i,P13569
O94921,i,P30101
P49840,i,P61160
O75116,i,P28482
P00519,i,P14923
Q53ET0,i,Q03135
P53667,i,Q8TEW0
P49137,i,O43707
P45983,i,P25054
Q13464,i,Q13153
Q16566,i,P35372
P06241,i,P19022
Q13464,i,P13498
Q8TAI7,i,P28482
Q00534,i,P35372
P13010,i,P11717
Q96PY6,i,P04083
Q13555,i,P11233
Q13976,i,P13498
Q16512,i,Q9BR76
PR:000025962,i,P18206
Q07817,i,P30101
Q96GD4,i,O00560
P17252,i,P31146
Q13554,i,P63000
P41279,i,Q14155
P04637,i,Q6UVK1
O15111,i,P13861
Q13526,i,Q8WXH0
O15392,i,P28482
A0A0S2Z3I6,i,O60716
Q9H4B4,i,P61978
Q15349,i,P05023
Q14686,i,P22736
Q13464,i,P31146
P08631,i,P61978
Q15139,i,Q02750
O14920,i,O75955
P05231,i,P26038
P54646,i,Q14118
P23443,i,O60716
P49841,i,P14923
Q05397,i,Q14289
Q5TCY1,i,P35372
P62993,i,P04083
O60566,i,P62745
Q13976,i,Q13418
PR:000007102,i,P62280
Q02156,i,Q96SB3
O95382,i,Q03135
Q96GD4,i,P62745
Q13535,i,P15311
P31946,i,Q92574
P53350,i,Q03135
